Time,Image,CommandLine,ParentImage,Risk
2026-03-02T08:26:09.2295480Z,C:\Windows\System32\rundll32.exe,"C:\WINDOWS\System32\rundll32.exe C:\WINDOWS\System32\shell32.dll,SHCreateLocalServerRunDll {9aa46009-3ce0-458a-a354-715610a075e6} -Embedding",C:\Windows\System32\svchost.exe,Low
2026-03-02T08:25:40.5801740Z,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\kotra\AppData\Local\Packages\5319275A.51895FA4EA97F_cv1g1gvanyjgm\LocalCache\EBWebView"" --webview-exe-name=WhatsApp.Root.exe --webview-exe-version=1.0.0 --embedded-browser-webview=1 --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=13 --js-flags=""--expose-gc --ms-user-locale=en_IN"" --time-ticks-at-unix-epoch=-1772439453691936 --launch-time-ticks=486873444 --ssd-no-pressure-read-main-dll --metrics-shmem-handle=3092,i,7131164630527545337,5904630277874074507,2097152 --field-trial-handle=2104,i,4546239432447844171,7000167311489862641,262144 --variations-seed-version --trace-process-track-uuid=3190708998493415531 --mojo-platform-channel-handle=5284 /pfhostedapp:c50ef98e1cb7ee21ac56aca7a17dbd7d5683f0ed /prefetch:1",C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,Low
2026-03-02T08:24:11.6384021Z,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\kotra\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView"" --webview-exe-name=WhatsApp.Root.exe --webview-exe-version=1.0.0 --embedded-browser-webview=1 --extension-process --renderer-sub-type=extension --disable-gpu-compositing --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=11 --js-flags=""--expose-gc --ms-user-locale=en_IN"" --time-ticks-at-unix-epoch=-1772439453691936 --launch-time-ticks=397933723 --ssd-no-pressure-read-main-dll --metrics-shmem-handle=5764,i,17259249329366585849,9117793302048969162,2097152 --field-trial-handle=1600,i,8149385401697549964,8949977479583912767,262144 --variations-seed-version --trace-process-track-uuid=3190708996619331833 --mojo-platform-channel-handle=7008 /pfhostedapp:7b58836e2c8076d80f42e77e843b25a42007b878 /prefetch:9",C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,Low
2026-03-02T08:24:10.0414739Z,C:\Windows\System32\ReAgentc.exe,"""C:\WINDOWS\System32\reagentc.exe"" /setbootshelllink /configfile ""C:\Recovery\OEM\bootmenu.xml"" /target ""C:\Windows""",C:\Program Files\Dell\SARemediation\agent\DellSupportAssistRemedationService.exe,Low
2026-03-02T08:24:09.9046933Z,C:\Windows\System32\ReAgentc.exe,"""C:\WINDOWS\System32\reagentc.exe"" /setreimage /path ""C:\ProgramData\Dell\SARemediation\WinRE\recovery\windowsre"" /index 1 /target ""C:\Windows""",C:\Program Files\Dell\SARemediation\agent\DellSupportAssistRemedationService.exe,Low
2026-03-02T08:24:08.0462279Z,C:\Windows\System32\vds.exe,C:\WINDOWS\System32\vds.exe,C:\Windows\System32\services.exe,Low
2026-03-02T08:24:07.9982256Z,C:\Windows\System32\vdsldr.exe,C:\WINDOWS\System32\vdsldr.exe -Embedding,C:\Windows\System32\svchost.exe,Low
2026-03-02T08:24:07.5633960Z,C:\Windows\System32\ReAgentc.exe,"""C:\WINDOWS\System32\reagentc.exe""  /enable",C:\Program Files\Dell\SARemediation\agent\DellSupportAssistRemedationService.exe,Low
2026-03-02T08:24:06.2617047Z,C:\Users\kotra\AppData\Local\Kingsoft\WPS Office\12.2.0.23196\office6\wpscloudsvr.exe,"""C:\Users\kotra\AppData\Local\Kingsoft\WPS Office\12.2.0.23196\office6\wpscloudsvr.exe"" /wpscloudlaunch /run_plugin /plugin_name=ktaskschdtool /plugin_entry=ktaskschdtool.dll /task=wpsexternal /launchtask /ver=1.0 /start_from=task_external_interval",C:\Windows\System32\svchost.exe,Medium
2026-03-02T08:23:58.0540833Z,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe"" -Embedding",C:\Windows\System32\svchost.exe,Low
2026-03-02T08:23:57.7981273Z,C:\Program Files\Microsoft OneDrive\26.022.0203.0006\OneDriveActionHelper.exe,"""C:\Program Files\Microsoft OneDrive\26.022.0203.0006\OneDriveActionHelper.exe"" /disable=Microsoft.OneDrive.CreateFAQ;Microsoft.OneDrive.File.CreateFAQ",C:\Program Files\Microsoft OneDrive\OneDrive.exe,Low
2026-03-02T08:23:57.7478201Z,C:\Program Files\Microsoft OneDrive\26.022.0203.0006\OneDriveActionHelper.exe,"""C:\Program Files\Microsoft OneDrive\26.022.0203.0006\OneDriveActionHelper.exe"" /disable=Microsoft.OneDrive.CreateFAQ;Microsoft.OneDrive.File.CreateFAQ",C:\Program Files\Microsoft OneDrive\OneDrive.exe,Low
2026-03-02T08:23:56.9746046Z,C:\Windows\System32\dllhost.exe,"""C:\WINDOWS\system32\DllHost.exe"" /Processid:{5250E46F-BB09-D602-5891-F476DC89B700}",C:\Windows\System32\svchost.exe,Low
2026-03-02T08:23:55.3159023Z,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe"" --type=gpu-process --disable-gpu-sandbox --use-gl=disabled --gpu-vendor-id=32902 --gpu-device-id=18088 --gpu-sub-system-id=195694632 --gpu-revision=12 --gpu-driver-version=32.0.101.7077 --noerrdialogs --user-data-dir=""C:\Users\kotra\AppData\Local\Packages\5319275A.51895FA4EA97F_cv1g1gvanyjgm\LocalCache\EBWebView"" --webview-exe-name=WhatsApp.Root.exe --webview-exe-version=1.0.0 --embedded-browser-webview=1 --gpu-preferences=SAAAAAAAAADoAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAEIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --ssd-no-pressure-read-main-dll --metrics-shmem-handle=6460,i,8666222899959647565,12312353276229215758,262144 --field-trial-handle=2104,i,4546239432447844171,7000167311489862641,262144 --variations-seed-version --trace-process-track-uuid=3190708997556373682 --mojo-platform-channel-handle=4032 /prefetch:10 /pfhostedapp:c50ef98e1cb7ee21ac56aca7a17dbd7d5683f0ed",C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,Low
2026-03-02T08:23:30.2088666Z,C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26011.42.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe,"""C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26011.42.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe"" -ComServer:Background -Embedding",C:\Windows\System32\svchost.exe,Low
2026-03-02T08:23:28.6784191Z,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\kotra\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView"" --webview-exe-name=WhatsApp.Root.exe --webview-exe-version=1.0.0 --embedded-browser-webview=1 --extension-process --renderer-sub-type=extension --disable-gpu-compositing --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=10 --js-flags=""--expose-gc --ms-user-locale=en_IN"" --time-ticks-at-unix-epoch=-1772439453691936 --launch-time-ticks=354968292 --ssd-no-pressure-read-main-dll --metrics-shmem-handle=4120,i,6858007911887385376,3699516464784568819,2097152 --field-trial-handle=1600,i,8149385401697549964,8949977479583912767,262144 --variations-seed-version --trace-process-track-uuid=3190708995682289984 --mojo-platform-channel-handle=4880 /pfhostedapp:7b58836e2c8076d80f42e77e843b25a42007b878 /prefetch:9",C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,Low
2026-03-02T08:23:27.7007077Z,C:\Program Files\Microsoft OneDrive\26.022.0203.0006\FileCoAuth.exe,"""C:\Program Files\Microsoft OneDrive\26.022.0203.0006\FileCoAuth.exe"" -Embedding",C:\Windows\System32\svchost.exe,Low
2026-03-02T08:23:27.6217379Z,C:\Windows\System32\oobe\UserOOBEBroker.exe,C:\Windows\System32\oobe\UserOOBEBroker.exe -Embedding,C:\Windows\System32\svchost.exe,Low
2026-03-02T08:23:27.1361216Z,C:\Windows\System32\backgroundTaskHost.exe,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:WindowsBackup.AppXnn6fnh4raxtmg45ba8k2f4ykb7n0k3y4.mca",C:\Windows\System32\svchost.exe,Low
2026-03-02T08:23:26.1960456Z,C:\Windows\System32\backgroundTaskHost.exe,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXapskvk16gk8da8kch5g4qxh42vxccved.mca",C:\Windows\System32\svchost.exe,Low
2026-03-02T08:23:26.1833817Z,C:\Program Files\WindowsApps\Microsoft.WindowsStore_22601.1401.3.0_x64__8wekyb3d8bbwe\StoreDesktopExtension.exe,"""C:\Program Files\WindowsApps\Microsoft.WindowsStore_22601.1401.3.0_x64__8wekyb3d8bbwe\StoreDesktopExtension.exe"" -Embedding",C:\Windows\System32\svchost.exe,Low
